GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
loxj001-01-mx,com.prueba.lox.batch,Complete,0,12,0,0,0,3,0,2,0,2
loxj001-01-mx,com.prueba.lox.batch,Reader,0,108,1,5,0,19,1,4,0,2
loxj001-01-mx,com.prueba.lox.batch,Process,13,37,1,1,1,7,1,2,0,2
loxj001-01-mx,com.prueba.lox.batch,Failed,0,45,0,0,0,13,0,3,0,3
loxj001-01-mx,com.prueba.lox.batch.Utility,Utility,2,193,3,15,1,38,3,17,0,11
